,avg_runs,candies,is_possible,map_layout,num_paths,std_runs,successes,walls
361,2480.0,"(array([ 1,  2,  3,  5,  6, 10, 11, 12, 13, 14, 15, 17, 18, 21, 22],
      dtype=int64),)",False,0333133111333333133113310,0,0.0,0.0,"(array([ 4,  7,  8,  9, 16, 19, 20, 23], dtype=int64),)"
362,1372.5,"(array([ 1,  2,  3,  6,  8,  9, 11, 13, 14, 16, 17, 19, 21, 22, 23],
      dtype=int64),)",True,0333113133131331331313330,4,458.2738809925785,17.0,"(array([ 4,  5,  7, 10, 12, 15, 18, 20], dtype=int64),)"
363,1864.15,"(array([ 1,  5,  6,  7,  9, 10, 11, 13, 14, 16, 19, 20, 21, 22, 23],
      dtype=int64),)",True,0311133313331331311333330,3,609.9386260108471,10.0,"(array([ 2,  3,  4,  8, 12, 15, 17, 18], dtype=int64),)"
364,1647.9,"(array([ 1,  2,  3,  6,  7, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21],
      dtype=int64),)",True,0333113311133333331333110,3,605.9050998299981,13.0,"(array([ 4,  5,  8,  9, 10, 18, 22, 23], dtype=int64),)"
365,2480.0,"(array([ 2,  4,  5,  6,  7, 10, 11, 13, 14, 15, 17, 18, 19, 22, 23],
      dtype=int64),)",False,0131333311331333133311330,0,0.0,0.0,"(array([ 1,  3,  8,  9, 12, 16, 20, 21], dtype=int64),)"
366,1587.4,"(array([ 1,  4,  5,  6,  7,  8,  9, 11, 13, 14, 17, 18, 19, 22, 23],
      dtype=int64),)",True,0311333333131331133311330,6,558.6254022151159,15.0,"(array([ 2,  3, 10, 12, 15, 16, 20, 21], dtype=int64),)"
367,2233.25,"(array([ 1,  2,  3,  4,  7,  9, 10, 11, 12, 15, 17, 18, 19, 20, 22],
      dtype=int64),)",True,0333311313333113133331310,1,397.4352620238924,5.0,"(array([ 5,  6,  8, 13, 14, 16, 21, 23], dtype=int64),)"
368,1581.0,"(array([ 1,  4,  5,  6,  7,  9, 10, 11, 12, 14, 17, 18, 19, 20, 23],
      dtype=int64),)",True,0311333313333131133331130,8,575.0026956458552,15.0,"(array([ 2,  3,  8, 13, 15, 16, 21, 22], dtype=int64),)"
369,2480.0,"(array([ 2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 16, 17, 23],
      dtype=int64),)",False,0133333333333311331111130,0,0.0,0.0,"(array([ 1, 14, 15, 18, 19, 20, 21, 22], dtype=int64),)"
370,2480.0,"(array([ 2,  3,  4,  6,  7,  9, 13, 14, 15, 16, 18, 19, 20, 21, 22],
      dtype=int64),)",False,0133313313111333313333310,0,0.0,0.0,"(array([ 1,  5,  8, 10, 11, 12, 17, 23], dtype=int64),)"
371,1383.55,"(array([ 2,  3,  4,  5,  9, 10, 11, 12, 13, 14, 18, 19, 21, 22, 23],
      dtype=int64),)",True,0133331113333331113313330,3,527.402642674456,16.0,"(array([ 1,  6,  7,  8, 15, 16, 17, 20], dtype=int64),)"
372,1721.85,"(array([ 1,  2,  3,  5,  6,  7,  8,  9, 11, 12, 14, 17, 19, 20, 22],
      dtype=int64),)",True,0333133333133131131331310,4,565.3851143247406,13.0,"(array([ 4, 10, 13, 15, 16, 18, 21, 23], dtype=int64),)"
373,2480.0,"(array([ 1,  4,  5,  6,  7,  8, 10, 11, 15, 16, 18, 19, 20, 21, 22],
      dtype=int64),)",False,0311333331331113313333310,0,0.0,0.0,"(array([ 2,  3,  9, 12, 13, 14, 17, 23], dtype=int64),)"
374,2480.0,"(array([ 2,  3,  7,  9, 11, 12, 14, 15, 16, 17, 18, 19, 20, 22, 23],
      dtype=int64),)",False,0133111313133133333331330,0,0.0,0.0,"(array([ 1,  4,  5,  6,  8, 10, 13, 21], dtype=int64),)"
375,1407.05,"(array([ 1,  2,  3,  5,  6,  7,  8, 11, 12, 13, 14, 16, 19, 20, 22],
      dtype=int64),)",True,0333133331133331311331310,8,433.635616041856,18.0,"(array([ 4,  9, 10, 15, 17, 18, 21, 23], dtype=int64),)"
376,1512.1,"(array([ 1,  2,  4,  5,  6,  7,  9, 12, 13, 15, 16, 18, 19, 21, 23],
      dtype=int64),)",True,0331333313113313313313130,5,564.5183699402527,16.0,"(array([ 3,  8, 10, 11, 14, 17, 20, 22], dtype=int64),)"
377,2480.0,"(array([ 1,  3,  4,  5,  6,  9, 10, 11, 14, 15, 16, 18, 20, 21, 22],
      dtype=int64),)",False,0313333113331133313133310,0,0.0,0.0,"(array([ 2,  7,  8, 12, 13, 17, 19, 23], dtype=int64),)"
378,2480.0,"(array([ 1,  3,  4,  6,  8,  9, 10, 11, 13, 15, 17, 18, 21, 22, 23],
      dtype=int64),)",False,0313313133331313133113330,0,0.0,0.0,"(array([ 2,  5,  7, 12, 14, 16, 19, 20], dtype=int64),)"
379,2480.0,"(array([ 1,  2,  3,  4,  7,  9, 10, 13, 15, 16, 17, 19, 20, 21, 23],
      dtype=int64),)",False,0333311313311313331333130,0,0.0,0.0,"(array([ 5,  6,  8, 11, 12, 14, 18, 22], dtype=int64),)"
380,2480.0,"(array([ 2,  3,  4,  8, 10, 12, 13, 14, 15, 16, 18, 19, 21, 22, 23],
      dtype=int64),)",False,0133311131313333313313330,0,0.0,0.0,"(array([ 1,  5,  6,  7,  9, 11, 17, 20], dtype=int64),)"
381,2480.0,"(array([ 2,  3,  6,  7,  8,  9, 11, 12, 13, 15, 18, 19, 20, 21, 22],
      dtype=int64),)",False,0133113333133313113333310,0,0.0,0.0,"(array([ 1,  4,  5, 10, 14, 16, 17, 23], dtype=int64),)"
382,2480.0,"(array([ 1,  3,  4,  5,  7,  9, 10, 11, 13, 14, 15, 16, 18, 22, 23],
      dtype=int64),)",False,0313331313331333313111330,0,0.0,0.0,"(array([ 2,  6,  8, 12, 17, 19, 20, 21], dtype=int64),)"
383,1814.8,"(array([ 1,  2,  3,  5,  6,  7,  8,  9, 14, 17, 18, 19, 21, 22, 23],
      dtype=int64),)",True,0333133333111131133313330,4,629.4837249683267,11.0,"(array([ 4, 10, 11, 12, 13, 15, 16, 20], dtype=int64),)"
384,1881.7,"(array([ 1,  2,  3,  4,  5,  6,  8,  9, 12, 13, 14, 16, 17, 19, 22],
      dtype=int64),)",True,0333333133113331331311310,3,604.0783144593091,11.0,"(array([ 7, 10, 11, 15, 18, 20, 21, 23], dtype=int64),)"
385,2480.0,"(array([ 1,  2,  4,  5,  6,  7,  9, 10, 11, 14, 16, 17, 19, 21, 22],
      dtype=int64),)",False,0331333313331131331313310,0,0.0,0.0,"(array([ 3,  8, 12, 13, 15, 18, 20, 23], dtype=int64),)"
386,1488.05,"(array([ 1,  2,  3,  4,  5,  7,  8,  9, 11, 12, 13, 18, 20, 22, 23],
      dtype=int64),)",True,0333331333133311113131330,3,489.49039571783226,17.0,"(array([ 6, 10, 14, 15, 16, 17, 19, 21], dtype=int64),)"
387,1557.15,"(array([ 2,  5,  6,  7,  8,  9, 10, 12, 14, 16, 17, 18, 19, 20, 22],
      dtype=int64),)",True,0131133333313131333331310,2,510.7435046087224,16.0,"(array([ 1,  3,  4, 11, 13, 15, 21, 23], dtype=int64),)"
388,1465.45,"(array([ 2,  5,  7,  9, 10, 12, 13, 15, 16, 18, 19, 20, 21, 22, 23],
      dtype=int64),)",True,0131131313313313313333330,2,538.3985025053469,16.0,"(array([ 1,  3,  4,  6,  8, 11, 14, 17], dtype=int64),)"
389,1610.35,"(array([ 2,  5,  6,  7,  8,  9, 11, 13, 14, 17, 19, 20, 21, 22, 23],
      dtype=int64),)",True,0131133333131331131333330,2,588.2660346305912,14.0,"(array([ 1,  3,  4, 10, 12, 15, 16, 18], dtype=int64),)"
390,2480.0,"(array([ 1,  2,  4,  5,  6,  7,  9, 10, 12, 13, 14, 15, 16, 18, 20],
      dtype=int64),)",False,0331333313313333313131110,0,0.0,0.0,"(array([ 3,  8, 11, 17, 19, 21, 22, 23], dtype=int64),)"
391,2480.0,"(array([ 1,  2,  4,  5,  7,  8, 10, 11, 12, 16, 17, 19, 20, 21, 22],
      dtype=int64),)",False,0331331331333111331333310,0,0.0,0.0,"(array([ 3,  6,  9, 13, 14, 15, 18, 23], dtype=int64),)"
392,1525.2,"(array([ 1,  3,  5,  6,  7,  8,  9, 11, 12, 13, 15, 17, 18, 19, 22],
      dtype=int64),)",True,0313133333133313133311310,6,583.7432312241401,15.0,"(array([ 2,  4, 10, 14, 16, 20, 21, 23], dtype=int64),)"
393,2480.0,"(array([ 2,  3,  5,  7,  8,  9, 10, 12, 13, 15, 16, 17, 20, 21, 22],
      dtype=int64),)",False,0133131333313313331133310,0,0.0,0.0,"(array([ 1,  4,  6, 11, 14, 18, 19, 23], dtype=int64),)"
394,1477.1,"(array([ 1,  2,  5,  6,  8,  9, 11, 12, 14, 17, 18, 20, 21, 22, 23],
      dtype=int64),)",True,0331133133133131133133330,4,569.3406625211306,16.0,"(array([ 3,  4,  7, 10, 13, 15, 16, 19], dtype=int64),)"
395,2002.85,"(array([ 1,  3,  4,  5,  6,  7,  8, 10, 11, 13, 14, 15, 18, 20, 23],
      dtype=int64),)",True,0313333331331333113131130,2,559.2018665026075,9.0,"(array([ 2,  9, 12, 16, 17, 19, 21, 22], dtype=int64),)"
396,1161.0,"(array([ 1,  2,  3,  4,  6,  7,  8, 12, 13, 14, 16, 18, 19, 22, 23],
      dtype=int64),)",True,0333313331113331313311330,10,325.15350221087886,19.0,"(array([ 5,  9, 10, 11, 15, 17, 20, 21], dtype=int64),)"
397,1790.95,"(array([ 1,  5,  6,  7,  8,  9, 10, 11, 13, 14, 16, 18, 19, 20, 22],
      dtype=int64),)",True,0311133333331331313331310,6,573.1090188611587,12.0,"(array([ 2,  3,  4, 12, 15, 17, 21, 23], dtype=int64),)"
398,2480.0,"(array([ 2,  3,  4,  5,  8, 11, 12, 14, 15, 16, 18, 19, 20, 21, 22],
      dtype=int64),)",False,0133331131133133313333310,0,0.0,0.0,"(array([ 1,  6,  7,  9, 10, 13, 17, 23], dtype=int64),)"
399,2480.0,"(array([ 1,  3,  4,  5,  7,  8,  9, 12, 13, 15, 17, 18, 19, 20, 22],
      dtype=int64),)",False,0313331333113313133331310,0,0.0,0.0,"(array([ 2,  6, 10, 11, 14, 16, 21, 23], dtype=int64),)"
400,2480.0,"(array([ 2,  5,  6,  7,  9, 10, 11, 13, 15, 17, 18, 19, 20, 21, 23],
      dtype=int64),)",False,0131133313331313133333130,0,0.0,0.0,"(array([ 1,  3,  4,  8, 12, 14, 16, 22], dtype=int64),)"
401,1375.25,"(array([ 1,  2,  3,  4,  7,  8, 10, 11, 12, 13, 14, 15, 19, 20, 22],
      dtype=int64),)",True,0333311331333333111331310,3,475.84828201854424,17.0,"(array([ 5,  6,  9, 16, 17, 18, 21, 23], dtype=int64),)"
402,2480.0,"(array([ 1,  2,  5,  6,  7,  9, 10, 11, 13, 14, 15, 16, 19, 21, 22],
      dtype=int64),)",False,0331133313331333311313310,0,0.0,0.0,"(array([ 3,  4,  8, 12, 17, 18, 20, 23], dtype=int64),)"
403,1645.65,"(array([ 1,  2,  5,  7,  9, 11, 12, 13, 14, 16, 17, 18, 19, 21, 22],
      dtype=int64),)",True,0331131313133331333313310,3,535.3061063541122,15.0,"(array([ 3,  4,  6,  8, 10, 15, 20, 23], dtype=int64),)"
404,1257.55,"(array([ 1,  2,  5,  6,  7,  8,  9, 13, 14, 15, 16, 19, 20, 21, 22],
      dtype=int64),)",True,0331133333111333311333310,6,431.13611249812976,18.0,"(array([ 3,  4, 10, 11, 12, 17, 18, 23], dtype=int64),)"
405,1153.1,"(array([ 5,  6, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23],
      dtype=int64),)",True,0111133111333133333333330,10,335.8192817573166,19.0,"(array([ 1,  2,  3,  4,  7,  8,  9, 13], dtype=int64),)"
